epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,236.941,0.4799,0.43008,0.81976,0.99862,0.97222,0.97513,0.89865,0.41263,0.29922,0.74979,0.000614,0.000614,0.000614
44,242.731,0.46451,0.41691,0.83159,0.99864,0.97222,0.9752,0.88997,0.40906,0.28932,0.75055,0.000581,0.000581,0.000581
45,247.441,0.47352,0.41149,0.82212,0.99861,0.97222,0.97534,0.89169,0.40213,0.28734,0.74922,0.000548,0.000548,0.000548
46,253.304,0.45999,0.41171,0.82454,0.99852,0.97222,0.97537,0.90074,0.44876,0.2956,0.75885,0.000515,0.000515,0.000515
47,258.393,0.48535,0.41511,0.83318,0.99854,0.97222,0.97566,0.90349,0.4369,0.30551,0.7528,0.000482,0.000482,0.000482
48,263.431,0.4555,0.39146,0.82055,0.99854,0.97222,0.97602,0.89111,0.46183,0.29797,0.76016,0.000449,0.000449,0.000449
49,269.081,0.45892,0.40018,0.82557,0.99858,0.97222,0.97613,0.90009,0.44727,0.29969,0.75672,0.000416,0.000416,0.000416
50,273.966,0.43267,0.39011,0.82205,0.9986,0.97222,0.97658,0.89516,0.4407,0.30472,0.74926,0.000383,0.000383,0.000383
51,283.486,0.45584,0.44567,0.81109,0.99858,0.97222,0.9769,0.88746,0.44787,0.31154,0.76068,0.00035,0.00035,0.00035
52,288.634,0.43637,0.44229,0.81938,0.99854,0.97222,0.97645,0.88571,0.43151,0.30805,0.75175,0.000317,0.000317,0.000317
53,295.184,0.42355,0.43898,0.80119,0.99859,0.97222,0.97638,0.89067,0.42324,0.3004,0.74607,0.000284,0.000284,0.000284
54,300.267,0.4361,0.41455,0.81828,0.99859,0.97222,0.97623,0.89342,0.4279,0.28621,0.75074,0.000251,0.000251,0.000251
55,305.585,0.42836,0.40458,0.82026,0.99864,0.97222,0.97609,0.89916,0.42241,0.28935,0.75028,0.000218,0.000218,0.000218
56,310.53,0.42882,0.4188,0.81542,0.9986,0.97222,0.97608,0.89377,0.41247,0.29884,0.74256,0.000185,0.000185,0.000185
57,314.997,0.40689,0.40402,0.80055,0.99862,0.97222,0.97612,0.8989,0.40153,0.29926,0.74125,0.000152,0.000152,0.000152
58,320.673,0.39118,0.39701,0.81885,0.99864,0.97222,0.97639,0.90446,0.39765,0.27366,0.74492,0.000119,0.000119,0.000119
59,325.513,0.39641,0.39132,0.80179,0.99867,0.97222,0.97662,0.89903,0.39867,0.2687,0.74594,8.6e-05,8.6e-05,8.6e-05
60,330.289,0.37826,0.38318,0.78522,0.99867,0.97222,0.97678,0.89909,0.40079,0.25604,0.74572,5.3e-05,5.3e-05,5.3e-05
